# Generated from ../data/13JUL2013/000.dat
time v v_c
22.325 1.66297 2
22.33 1.67413 2
22.335 1.66924 2
22.34 1.6684 2
22.345 1.66781 2
22.35 1.67765 2
22.355 1.68209 2
22.36 1.67502 2
22.365 1.67264 2
22.37 1.68117 2
22.375 1.68465 2
22.38 1.68717 2
22.385 1.68903 2
22.39 1.70065 2
22.395 1.6961 2
22.4 1.69551 2
22.405 1.70539 2
22.41 1.70982 2
22.415 1.71307 2
22.42 1.70513 2
22.425 1.70211 2
22.43 1.71018 2
22.435 1.71332 2
22.44 1.7156 2
22.445 1.71728 2
22.45 1.71848 2
22.455 1.71938 2
22.46 1.7303 2
22.465 1.72524 2
22.47 1.72428 2
22.475 1.73388 2
22.48 1.73812 2
22.485 1.73093 2
22.49 1.73872 2
22.495 1.74166 2
22.5 1.73349 2
22.505 1.7406 2
22.51 1.74301 2
22.515 1.74478 2
22.52 1.75634 2
22.525 1.75175 2
22.53 1.75113 2
22.535 1.76099 2
22.54 1.75512 2
22.545 1.7536 2
22.55 1.76277 2
22.555 1.75643 2
22.56 1.75454 2
22.565 1.76347 2
22.57 1.75693 2
22.575 1.76521 2
22.58 1.76848 2
22.585 1.76059 2
22.59 1.76786 2
22.595 1.77043 2
22.6 1.77228 2
22.605 1.77365 2
22.61 1.77462 2
22.615 1.77535 2
22.62 1.77587 2
22.625 1.77626 2
22.63 1.77653 2
22.635 1.77674 2
22.64 1.78717 2
22.645 1.78174 2
22.65 1.79081 2
22.655 1.79469 2
22.66 1.78721 2
22.665 1.79481 2
22.67 1.78729 2
22.675 1.79487 2
22.68 1.79763 2
22.685 1.79965 2
22.69 1.80111 2
22.695 1.7919 2
22.7 1.79821 2
22.705 1.81036 2
22.71 1.80617 2
22.715 1.80587 2
22.72 1.81593 2
22.725 1.81024 2
22.73 1.81911 2
22.735 1.81255 2
22.74 1.82079 2
22.745 1.81378 2
22.75 1.82169 2
22.755 1.82472 2
22.76 1.82691 2
22.765 1.82852 2
22.77 1.82968 2
22.775 1.83054 2
22.78 1.83115 2
22.785 1.83162 2
22.79 1.84222 2
22.795 1.83693 2
22.8 1.83581 2
22.805 1.83501 2
22.81 1.84469 2
22.815 1.83873 2
22.82 1.8474 2
22.825 1.85099 2
22.83 1.85359 2
22.835 1.84521 2
22.84 1.85213 2
22.845 1.85443 2
22.85 1.8561 2
22.855 1.84704 2
22.86 1.85346 2
22.865 1.8554 2
22.87 1.8568 2
22.875 1.85784 2
22.88 1.85858 2
22.885 1.85913 2
22.89 1.85952 2
22.895 1.85982 2
22.9 1.86002 2
22.905 1.86019 2
22.91 1.87057 2
22.915 1.86513 2
22.92 1.86389 2
22.925 1.863 2
22.93 1.87262 2
22.935 1.86662 2
22.94 1.86497 2
22.945 1.86379 2
22.95 1.8732 2
