# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
24.16 -11.5404 -11.5404 0.138576 0.138576
24.18 -9.83035 -9.83035 0.208595 0.208595
24.2 -9.50794 -9.50794 0.153448 0.153448
24.22 -9.41692 -9.41692 0.191186 0.191186
24.24 -9.76725 -9.76725 0.0488281 0.0488281
24.26 -8.78536 -8.78536 0.175269 0.175269
24.28 -9.21653 -9.21653 0.307345 0.307345
24.3 -9.33911 -9.33911 0.0772926 0.0772926
24.32 -7.84524 -7.84524 0.095032 0.095032
24.34 -9.1147 -9.1147 0.126604 0.126604
24.36 -9.31533 -9.31533 0.128091 0.128091
24.38 -9.88784 -9.88784 0.104241 0.104241
24.4 -11.0666 -11.0666 0.0933669 0.0933669
24.42 -10.4174 -10.4174 0.217518 0.217518
24.44 -10.2021 -10.2021 0.268002 0.268002
24.46 -10.003 -10.003 0.181921 0.181921
24.48 -10.2798 -10.2798 -0.0105549 -0.0105549
24.5 -9.65229 -9.65229 0.180953 0.180953
24.52 -9.47671 -9.47671 0.27803 0.27803
24.54 -10.1351 -10.1351 0.00410435 0.00410435
24.56 -9.61507 -9.61507 -0.0484056 -0.0484056
24.58 -9.4698 -9.4698 0.21754 0.21754
24.6 -10.9611 -10.9611 -0.034766 -0.034766
24.62 -8.16214 -8.16214 -0.152839 -0.152839
24.64 -8.70719 -8.70719 0.0585902 0.0585902
24.66 -9.2185 -9.2185 0.130172 0.130172
24.68 -8.98862 -8.98862 0.00890632 0.00890632
24.7 -8.59321 -8.59321 0.128506 0.128506
24.72 -9.18954 -9.18954 -0.0265249 -0.0265249
24.74 -8.84378 -8.84378 -0.030673 -0.030673
24.76 -8.74708 -8.74708 0.102092 0.102092
24.78 -7.70493 -7.70493 -0.00156766 -0.00156766
24.8 -8.39485 -8.39485 -0.065051 -0.065051
24.82 -8.43209 -8.43209 0.0926029 0.0926029
24.84 -8.63546 -8.63546 0.0307384 0.0307384
24.86 -9.20858 -9.20858 -0.075629 -0.075629
24.88 -7.83999 -7.83999 0.0584818 0.0584818
24.9 -6.53175 -6.53175 0.00891188 0.00891188
24.92 -8.07027 -8.07027 0.0883194 0.0883194
24.94 -7.83168 -7.83168 0.11728 0.11728
24.96 -3.62125 -3.62125 -0.0461423 -0.0461423
24.98 -6.52077 -6.52077 0.0101554 0.0101554
25 -3.95978 -3.95978 0.127317 0.127317
25.02 -4.37943 -4.37943 -0.0523429 -0.0523429
25.04 -2.80888 -2.80888 -0.0704114 -0.0704114
25.06 -4.76273 -4.76273 0.242699 0.242699
25.08 -4.44884 -4.44884 0.119681 0.119681
25.1 -3.53644 -3.53644 -0.0183605 -0.0183605
25.12 -2.73126 -2.73126 0.0979218 0.0979218
25.14 -2.83653 -2.83653 0.0175173 0.0175173
25.16 -1.6447 -1.6447 -0.0618268 -0.0618268
25.18 -0.602388 -0.602388 0.123979 0.123979
25.2 -2.23692 -2.23692 0.00201368 0.00201368
25.22 -1.47601 -1.47601 0.0619882 0.0619882
25.24 -0.886443 -0.886443 0.176905 0.176905
25.26 -1.4707 -1.4707 0.0223891 0.0223891
25.28 -2.15027 -2.15027 0.0104606 0.0104606
25.3 -1.45194 -1.45194 0.0881142 0.0881142
25.32 -3.49309 -3.49309 0.220031 0.220031
25.34 -1.67241 -1.67241 0.129019 0.129019
25.36 0.213477 0.213477 0.0575054 0.0575054
25.38 3.71453 3.71453 0.124012 0.124012
25.4 3.01209 3.01209 0.143507 0.143507
25.42 2.97283 2.97283 -0.0722075 -0.0722075
25.44 5.20013 5.20013 -0.100327 -0.100327
25.46 3.43243 3.43243 0.197644 0.197644
25.48 2.38643 2.38643 0.153477 0.153477
25.5 2.799 2.799 -0.0287216 -0.0287216
25.52 2.91569 2.91569 0.042867 0.042867
25.54 2.24244 2.24244 0.174221 0.174221
25.56 2.75992 2.75992 0.00923973 0.00923973
25.58 2.90624 2.90624 0.12362 0.12362
25.6 2.2411 2.2411 0.137033 0.137033
25.62 2.76108 2.76108 0.0335056 0.0335056
25.64 2.90807 2.90807 0.0158202 0.0158202
25.66 0.712205 0.712205 0.0623904 0.0623904
25.68 2.48988 2.48988 -0.0226651 -0.0226651
25.7 3.34808 3.34808 -0.0263685 -0.0263685
25.72 3.07545 3.07545 0.0655861 0.0655861
25.74 2.99923 2.99923 0.0185366 0.0185366
25.76 4.19985 4.19985 -0.02084 -0.02084
25.78 3.31732 3.31732 0.0894725 0.0894725
25.8 3.58414 3.58414 0.133745 0.133745
25.82 4.67628 4.67628 -0.0648034 -0.0648034
25.84 4.89206 4.89206 -0.0698741 -0.0698741
25.86 5.753 5.753 0.272604 0.272604
25.88 3.97558 3.97558 0.049045 0.049045
25.9 3.77345 3.77345 -0.231628 -0.231628
25.92 0.449629 0.449629 0.185201 0.185201
25.94 1.53441 1.53441 0.296968 0.296968
25.96 -0.180559 -0.180559 -0.00560994 -0.00560994
25.98 -0.880521 -0.880521 0.0790471 0.0790471
26 0.143876 0.143876 0.250054 0.250054
26.02 0.101106 0.101106 0.0432272 0.0432272
26.04 -0.800665 -0.800665 -0.0167442 -0.0167442
26.06 1.3652 1.3652 0.0848031 0.0848031
26.08 -0.228785 -0.228785 0.143435 0.143435
26.1 -0.188057 -0.188057 0.29355 0.29355
26.12 -0.368233 -0.368233 0.170241 0.170241
26.14 -0.933727 -0.933727 0.0300951 0.0300951
26.16 -1.46657 -1.46657 0.331698 0.331698
26.18 -0.866393 -0.866393 0.216775 0.216775
26.2 -1.58724 -1.58724 -0.0851805 -0.0851805
26.22 -0.0540069 -0.0540069 -0.00746563 -0.00746563
26.24 0.687645 0.687645 0.33339 0.33339
26.26 -0.7925 -0.7925 0.324982 0.324982
26.28 -1.05132 -1.05132 0.0378777 0.0378777
26.3 -2.65538 -2.65538 0.120934 0.120934
26.32 -2.30812 -2.30812 0.356612 0.356612
26.34 -2.7002 -2.7002 0.348653 0.348653
26.36 -3.18607 -3.18607 0.0921209 0.0921209
26.38 -3.32336 -3.32336 0.144452 0.144452
