# Generated from ../data/13JUL2013/000.dat
time steer_rate steer_rate_est
23.62 0.0138256 0.0556765
23.625 0.0100718 0.0567071
23.63 0.00733718 0.0576493
23.635 0.00534506 0.0599176
23.64 0.00389382 0.0617426
23.645 0.00283661 0.0623128
23.65 0.00206644 0.0641625
23.655 0.00150538 0.0670066
23.66 0.00109665 0.0704022
23.665 -0.0162606 0.0729899
23.67 -0.0118457 0.0761224
23.675 -0.00862945 0.0772641
23.68 -0.00628646 0.074707
23.685 -0.00457962 0.0721528
23.69 -0.00333621 0.0679692
23.695 -0.00243039 0.0648938
23.7 -0.00177051 0.0631158
23.705 -0.0012898 0.0624392
23.71 -0.000939606 0.064363
23.715 -0.000684492 0.0668256
23.72 0.0165609 0.0749949
23.725 0.0291239 0.083963
23.73 0.0212165 0.0900795
23.735 0.015456 0.0934642
23.74 0.0112595 0.0919653
23.745 0.0252619 0.087872
23.75 0.0184031 0.0801805
23.755 -0.00365307 0.0693975
23.76 -0.00266122 0.0550388
23.765 -0.00193867 0.0421375
23.77 -0.0184718 0.0347099
23.775 -0.0134565 0.0333436
23.78 -0.00980293 0.037481
23.785 -0.00714133 0.0446264
23.79 -0.00520238 0.0539905
23.795 -0.00378988 0.064436
23.8 -0.00276089 0.0721392
23.805 0.0150482 0.0784552
23.81 0.0109625 0.0821366
23.815 0.00798605 0.0808607
23.82 0.00581775 0.07479
23.825 -0.0128213 0.0675412
23.83 -0.00934021 0.0602838
23.835 -0.00680424 0.0548688
23.84 -0.00495682 0.0547765
23.845 -0.00361099 0.057918
23.85 -0.00263057 0.0650514
23.855 -0.00191634 0.0753624
23.86 -0.00139603 0.0872369
23.865 -0.001017 0.0966494
23.87 -0.000740871 0.101956
23.875 -0.000539713 0.10278
23.88 -0.000393175 0.0994049
23.885 -0.000286423 0.0927559
23.89 -0.000208654 0.0853933
23.895 -0.000152003 0.0774544
23.9 -0.000110734 0.0704756
23.905 -0.0171402 0.064545
23.91 -0.0124864 0.0635778
23.915 -0.00909624 0.0665475
23.92 -0.00662651 0.0714741
23.925 -0.00482734 0.0752601
23.93 -0.00351667 0.0761117
23.935 0.0144977 0.0766733
23.94 0.0105614 0.0764334
23.945 0.00769386 0.0758758
23.95 0.0056049 0.0766855
23.955 0.00408311 0.0783737
23.96 0.0029745 0.081476
23.965 0.00216689 0.0869082
23.97 0.00157856 0.0949796
23.975 0.00114997 0.103217
23.98 0.00083774 0.109739
23.985 0.000610285 0.11331
23.99 0.000444587 0.114956
23.995 -0.0167356 0.112195
24 -0.0121917 0.105657
24.005 -0.00888155 0.0977765
24.01 -0.00647011 0.0909624
24.015 -0.00471341 0.0874136
24.02 0.0136258 0.0874124
24.025 0.00992628 0.0899831
24.03 0.00723119 0.097478
24.035 0.0223274 0.109175
24.04 0.0333247 0.121443
24.045 0.0413362 0.130684
24.05 0.030113 0.135435
24.055 0.0389965 0.135012
24.06 0.0284085 0.128728
24.065 0.0206953 0.118776
24.07 0.0150763 0.107709
24.075 0.010983 0.097728
24.08 0.00800097 0.0897496
24.085 0.00582863 0.0863381
24.09 0.00424609 0.0878417
24.095 0.00309324 0.0932914
24.1 0.00225339 0.10257
24.105 0.00164157 0.112878
24.11 0.00119587 0.121017
24.115 0.000871181 0.124545
24.12 0.0176942 0.125052
24.125 0.01289 0.120985
24.13 0.00939024 0.114231
24.135 0.0068407 0.107578
24.14 0.00498338 0.0984305
24.145 0.00363033 0.090619
24.15 0.00264467 0.0859449
24.155 0.00192662 0.0832657
24.16 0.00140353 0.0837508
24.165 0.00102247 0.0859029
24.17 0.000744864 0.0907305
24.175 0.0176021 0.0990368
24.18 0.012823 0.105109
24.185 0.0093414 0.110242
24.19 0.0238646 0.114675
24.195 0.0173851 0.117952
24.2 0.0126649 0.120925
24.205 0.00922623 0.12272
24.21 0.00672121 0.125422
24.215 0.00489633 0.129597
24.22 0.00356692 0.13337
24.225 0.00259848 0.135194
24.23 0.00189297 0.135202
24.235 0.00137901 0.13445
24.24 0.00100459 0.13138
24.245 0.000731841 0.126347
24.25 0.000533149 0.122651
24.255 0.000388399 0.120211
24.26 0.0173425 0.119647
24.265 0.0126338 0.121903
24.27 0.0092036 0.126139
24.275 0.0237642 0.13507
24.28 0.017312 0.144298
24.285 0.0296711 0.152728
24.29 0.0216151 0.157696
24.295 0.0157464 0.158814
24.3 0.0285306 0.157873
24.305 0.0207842 0.152517
24.31 0.0151411 0.145338
24.315 0.0110301 0.139752
24.32 0.00803535 0.136056
24.325 0.00585367 0.132411
24.33 0.00426434 0.129123
24.335 0.00310653 0.128248
24.34 0.00226307 0.127464
24.345 0.00164862 0.12658
24.35 0.00120102 0.126627
24.355 0.0179345 0.127817
24.36 0.0130651 0.128349
24.365 0.00951777 0.127808
24.37 0.0239931 0.128469
24.375 0.0174787 0.130232
24.38 0.0127331 0.130959
24.385 0.00927593 0.129461
24.39 0.00675742 0.128897
24.395 0.00492272 0.128436
24.4 0.00358617 0.127001
24.405 0.00261247 0.123719
24.41 0.00190318 0.119729
24.415 0.00138646 0.117721
24.42 0.00101003 0.118676
24.425 0.00073579 0.122668
24.43 0.000536025 0.126763
24.435 0.01745 0.132853
24.44 0.0127122 0.138298
24.445 0.00926065 0.145219
24.45 0.0238058 0.153004
24.455 0.0173423 0.159958
24.46 0.0296932 0.164011
24.465 0.0216312 0.16401
24.47 0.0157581 0.160186
24.475 0.0285391 0.154156
24.48 0.0207905 0.145666
24.485 0.0151456 0.137255
24.49 0.0110334 0.130424
24.495 0.00803775 0.126265
24.5 0.0229149 0.126566
24.505 0.0166933 0.130774
24.51 0.0121609 0.138768
24.515 0.0259186 0.148044
24.52 0.0188814 0.156783
24.525 0.0137549 0.161715
24.53 0.0270798 0.161381
24.535 0.0197273 0.156438
24.54 0.0143712 0.149395
24.545 0.0104693 0.140009
24.55 0.00762677 0.127762
24.555 -0.0115035 0.113959
24.56 -0.00838014 0.101403
24.565 -0.00610486 0.0932548
24.57 -0.00444731 0.0901391
24.575 -0.00323981 0.0918385
24.58 -0.00236017 0.0973318
24.585 -0.00171939 0.102613
24.59 -0.00125253 0.10584
24.595 0.016147 0.105595
24.6 0.0117629 0.101481
24.605 0.00856921 0.0925709
24.61 0.00624257 0.0809121
24.615 0.00454766 0.0683711
24.62 -0.0137466 0.0547681
24.625 -0.0100142 0.0428607
24.63 -0.0243548 0.0330177
24.635 -0.0348017 0.0262522
24.64 -0.0253527 0.0245845
24.645 -0.0355286 0.0257836
24.65 -0.0258822 0.0312819
24.655 -0.0359145 0.0378335
24.66 -0.0261633 0.0427426
24.665 -0.0190597 0.0446926
24.67 -0.0309443 0.0421208
24.675 -0.0225426 0.0383713
24.68 -0.016422 0.0339998
24.685 -0.0119633 0.0306013
24.69 -0.00871512 0.0258405
24.695 -0.0234084 0.0242557
24.7 -0.0170528 0.0271964
24.705 -0.0124227 0.0322371
24.71 -0.00904983 0.0357924
24.715 -0.00659269 0.0349633
24.72 -0.0048027 0.0330305
24.725 -0.0205582 0.0287056
24.73 -0.0149764 0.0244116
24.735 -0.0109102 0.0199673
24.74 -0.0250075 0.0135996
24.745 -0.0182177 0.00931508
24.75 -0.0132714 0.00533289
24.755 -0.00966804 0.00563
24.76 -0.0241026 0.00784011
24.765 -0.0175585 0.0126332
24.77 -0.0127911 0.0169033
24.775 -0.00931822 0.0181269
24.78 -0.00678821 0.0189201
24.785 -0.00494514 0.0165126
24.79 -0.00360247 0.0121192
24.795 -0.00262436 0.00734492
24.8 -0.0189713 0.00122566
24.805 -0.0138204 -0.00351794
24.81 -0.010068 -0.00726635
24.815 -0.00733443 -0.00772161
24.82 -0.00534305 -0.00625416
24.825 -0.00389236 -0.000463447
24.83 -0.00283554 0.0064828
24.835 -0.00206566 0.0133544
24.84 -0.00150481 0.0191966
24.845 -0.0181557 0.0194927
24.85 -0.0132263 0.0185
24.855 -0.00963517 0.0144541
24.86 -0.0240786 0.00797127
24.865 -0.017541 0.00294979
24.87 -0.029838 -0.000270664
24.875 -0.0217366 -0.000642326
24.88 -0.0158349 -0.000844962
24.885 -0.0115356 0.00101892
24.89 -0.025463 0.00144589
24.895 -0.0185496 0.00384361
24.9 -0.0135131 0.00721124
24.905 -0.0269037 0.00821134
24.91 -0.019599 0.0120751
24.915 -0.0142777 0.0144524
24.92 -0.0104012 0.0175638
24.925 -0.00757713 0.0214423
24.93 -0.00551986 0.026264
24.935 -0.00402116 0.030827
24.94 -0.00292937 0.0344672
24.945 -0.00213401 0.0377472
24.95 -0.0015546 0.0389117
24.955 -0.018192 0.0388214
24.96 -0.0132527 0.0353821
24.965 -0.0267139 0.0298026
24.97 -0.0194608 0.0236843
24.975 -0.014177 0.0181279
24.98 -0.0273873 0.0156527
24.985 -0.0199514 0.0149363
24.99 -0.0145344 0.0170592
24.995 -0.0276476 0.0200343
25 -0.020141 0.0236948
25.005 -0.0146725 0.0281076
25.01 -0.0106888 0.0319248
25.015 -0.00778666 0.0333745
25.02 -0.022732 0.0298085
25.025 -0.01656 0.0241142
25.03 -0.0120638 0.0167679
25.035 -0.0258479 0.00739147
25.04 -0.0358894 0.000595921
25.045 -0.0261451 -0.0034298
25.05 -0.0361059 -0.00291088
25.055 -0.0433623 0.00146549
25.06 -0.031589 0.0103984
25.065 -0.0400717 0.0205832
25.07 -0.0291918 0.0301753
25.075 -0.0383255 0.0379537
25.08 -0.0279197 0.042067
25.085 -0.0203392 0.0438153
25.09 -0.0318764 0.0409481
25.095 -0.0232216 0.0352347
25.1 -0.0169167 0.0300174
25.105 -0.0293832 0.0261228
25.11 -0.0214053 0.0242759
25.115 -0.0155935 0.0246465
25.12 -0.0113597 0.0274728
25.125 -0.00827545 0.0294933
25.13 -0.0230881 0.0302701
25.135 -0.0168194 0.0290325
25.14 -0.0122528 0.0248716
25.145 -0.00892602 0.0218349
25.15 -0.023562 0.0163533
