# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
29.0709 113.48 200.704 1 1
29.1708 85.2398 152.854 1 1
29.2707 127.738 231.955 1 1
29.3706 103.225 205.153 1 1
29.4705 138.46 265.294 1 1
29.5704 175.343 370.075 1 1
29.6703 89.243 170.197 1 1
29.7702 220.119 373.929 1 1
29.8701 100.195 171.295 1 1
29.97 87.1417 159.926 1 1
30.0699 243.895 421.153 1 1
30.1698 86.5446 161.134 1 1
30.2697 49.8693 93.7836 1 1
30.3696 517.021 935.979 1 1
30.4695 47.3433 90.358 1 1
30.5694 63.1606 118.629 1 1
30.6693 70.7392 131.342 1 1
30.7692 57.2873 111.482 1 1
30.8691 77.2134 143.957 1 1
30.969 114.226 220.564 1 1
31.0689 66.3049 121.185 1 1
31.1688 505.095 937.688 1 1
31.2687 71.8503 131.159 1 1
31.3686 69.1062 126.539 1 1
31.4685 153.912 284.953 1 1
31.5684 68.2941 128.044 1 1
31.6683 65.5317 124.363 1 1
31.7682 198.081 374.123 1 1
31.8681 47.521 92.5539 1 1
31.968 54.63 104.711 1 1
32.0679 61.1788 109.78 1 1
32.1678 148.165 278.211 1 1
32.2677 51.2866 90.7837 1 1
32.3676 122.371 227.277 1 1
32.4675 86.3589 160.653 1 1
32.5674 128.773 251.971 1 1
32.6673 70.3254 128.191 1 1
32.7672 51.3322 100.28 1 1
32.8671 78.6454 141.714 1 1
32.967 98.8213 180.001 1 1
33.0669 76.9728 147.962 1 1
33.1668 58.1156 120.428 1 1
33.2667 115.011 209.173 1 1
33.3666 59.225 106.374 1 1
33.4665 72.6146 124.341 1 1
33.5664 204.101 362.609 1 1
33.6663 76.135 155.227 1 1
33.7662 69.5539 134.337 1 1
33.8661 166.517 291.947 1 1
33.966 149.402 269.088 1 1
34.0659 109.377 232.474 1 1
34.1658 39.9281 76.4216 1 1
34.2657 97.0905 179.584 1 1
34.3656 70.6611 134.316 1 1
34.4655 437.421 769.724 1 1
34.5654 54.2798 101.848 1 1
34.6653 56.3138 109.626 1 1
34.7652 81.8312 146.2 1 1
34.8651 196.161 350.502 1 1
34.965 63.3772 118.761 1 1
35.0649 86.0454 168.101 1 1
35.1648 49.7808 99.4515 1 1
35.2647 87.7022 168.798 1 1
35.3646 58.3992 119.894 1 1
35.4645 238.596 417.55 1 1
35.5644 34.3735 64.3817 1 1
35.6643 76.6529 138.038 1 1
35.7642 184.285 312.015 1 1
35.8641 71.2005 128.811 1 1
35.964 38.3043 77.7471 1 1
36.0639 32.415 67.4567 1 1
36.1638 54.7914 106.962 1 1
36.2637 30.2753 57.1364 1 1
36.3636 117.774 223.076 1 1
36.4635 165.246 259.564 1 1
36.5634 75.0623 138.738 1 1
36.6633 42.6233 79.5089 1 1
36.7632 49.3763 87.2309 1 1
36.8631 185.786 315.614 1 1
36.963 82.8622 160.405 1 1
37.0629 246.532 414.162 1 1
37.1628 65.3662 112.422 1 1
37.2627 45.8738 100.788 1 1
37.3626 83.6384 144.79 1 1
37.4625 117.414 185.178 1 1
37.5624 70.7549 129.396 1 1
37.6623 104.489 192.697 1 1
37.7622 165.859 298.407 1 1
37.8621 288.284 465.592 1 1
