# Generated from ../data/13JUL2013/024.dat
freq T_s gyro_x steer steer_rate v
2.73376 1 0.0240203 0.0339932 0.517888 0.106312
2.75357 1 0.0169908 0.0222026 0.337104 0.100322
2.77338 1 0.0470913 0.00499366 0.0670276 0.204335
2.79319 1 0.0236433 0.0102747 0.16564 0.063567
2.813 1 0.073468 0.0842512 1.41097 0.234057
2.8328 1 0.0146189 0.00655765 0.0646096 0.0555998
2.85261 1 0.0136501 0.0236467 0.371147 0.181001
2.87242 1 0.0252568 0.016547 0.255135 0.0748238
2.89223 1 0.0123768 0.0171002 0.361009 0.191671
2.91204 1 0.0205196 0.024025 0.384766 0.086058
2.93185 1 0.0137426 0.0216384 0.350243 0.0667939
2.95166 1 0.0461293 0.0165536 0.322764 0.103805
2.97147 1 0.0299759 0.0168174 0.297651 0.0841068
2.99128 1 0.0510992 0.115888 1.95974 0.311258
3.01109 1 0.022383 0.0224961 0.363611 0.066519
3.0309 1 0.0154189 0.0829784 1.40494 0.233043
3.05071 1 0.0174456 0.0345616 0.592899 0.0968602
3.07052 1 0.0248774 0.04268 0.689653 0.289424
3.09033 1 0.0202936 0.0235897 0.378786 0.138196
3.11014 1 0.0327707 0.0332661 0.579868 0.0862862
3.12995 1 0.0235798 0.0473852 0.860919 0.149245
3.14976 1 0.0321399 0.0318044 0.578199 0.135582
3.16957 1 0.0629235 0.07042 1.27378 0.129694
3.18938 1 0.0127856 0.0223775 0.411567 0.109421
3.20919 1 0.0192224 0.0109596 0.226261 0.0876644
3.229 1 0.0212596 0.0126425 0.243992 0.0678407
3.24881 1 0.0418882 0.0478776 0.942669 0.191071
3.26862 1 0.0666989 0.0864173 1.81108 0.341419
3.28843 1 0.0120996 0.00656958 0.0965657 0.0617035
3.30824 1 0.0763893 0.0463398 0.979783 0.166283
3.32805 1 0.0355234 0.0121319 0.282412 0.0466616
3.34786 1 0.158916 0.0497869 1.10493 0.425497
3.36767 1 0.0339033 0.00478218 0.120928 0.0702287
3.38748 1 0.162412 0.350351 8.07405 2.10718
3.40729 1 0.0148461 0.0378062 0.814145 0.17006
3.4271 1 0.0162581 0.00614818 0.0464116 0.165072
3.44691 1 0.0445758 0.0346575 0.845706 0.250228
3.46672 1 0.0114206 0.0274998 0.491913 0.0839193
3.48653 1 0.0144543 0.0336556 0.618424 0.150629
3.50634 1 0.025454 0.00680443 0.0784578 0.0987744
3.52615 1 0.0100622 0.037851 0.803475 0.279936
3.54596 1 0.0324948 0.0171384 0.314261 0.0965358
3.56577 1 0.0915283 0.0492072 0.923823 0.230104
3.58558 1 0.0219529 0.030954 0.804663 0.161335
3.60539 1 0.0304063 0.02208 0.422823 0.0719315
3.6252 1 0.0148006 0.0163723 0.40826 0.148865
3.64501 1 0.0162353 0.0236815 0.395293 0.164036
3.66482 1 0.029487 0.0260696 0.478791 0.135118
3.68463 1 0.0195866 0.00749139 0.112958 0.100178
3.70444 1 0.0639492 0.0238477 0.630014 0.299438
3.72425 1 0.0252822 0.0337542 0.730199 0.118981
3.74406 1 0.0301086 0.0156431 0.336636 0.115153
3.76387 1 0.0160677 0.0246251 0.535177 0.11067
3.78368 1 0.0218932 0.0348797 0.63454 0.168536
3.80349 1 0.0386212 0.052241 1.01994 0.255531
3.8233 1 0.000456261 0.00866199 0.14096 0.089844
3.84311 1 0.0792068 0.0790973 1.64249 0.246971
3.86292 1 0.0400259 0.0429763 0.861352 0.11063
3.88273 1 0.022735 0.0123353 0.184266 0.121561
3.90254 1 0.0323983 0.0251676 0.52933 0.0947988
3.92235 1 0.0153084 0.0302553 0.663813 0.143255
3.94216 1 0.0656137 0.0773243 1.6068 0.294023
3.96196 1 0.0126785 0.0248248 0.487016 0.0752323
3.98177 1 0.0627326 0.0462237 0.970442 0.154826
4.00158 1 0.0249062 0.00865046 0.171882 0.131519
4.02139 1 0.0838194 0.0201038 0.365347 0.513496
4.0412 1 0.0629415 0.0200223 0.393607 0.196165
4.06101 1 0.0177202 0.0220206 0.530646 0.113225
4.08082 1 0.0399938 0.00750676 0.304165 0.083149
4.10063 1 0.0107824 0.0094158 0.179644 0.089905
4.12044 1 0.0594942 0.0364082 0.844919 0.413001
4.14025 1 0.0222128 0.00663553 0.175505 0.109975
4.16006 1 0.0161933 0.0474527 0.924742 0.219328
4.17987 1 0.0347853 0.0417008 0.890687 0.312975
4.19968 1 0.0302635 0.0119402 0.333406 0.0297594
4.21949 1 0.00631836 0.0151618 0.315307 0.0668873
4.2393 1 0.117016 0.036316 0.387112 0.418852
4.25911 1 0.0946636 0.0593161 1.07081 0.569465
4.27892 1 0.010611 0.0189917 0.416249 0.0591622
4.29873 1 0.0349593 0.0217184 0.455821 0.143469
4.31854 1 0.0700064 0.0393344 0.818177 0.180592
4.33835 1 0.031295 0.0132355 0.267383 0.0818683
4.35816 1 0.0387149 0.0208304 0.432054 0.121898
4.37797 1 0.0142008 0.00694081 0.203583 0.085341
4.39778 1 0.0129876 0.0216855 0.461933 0.12807
4.41759 1 0.0342304 0.025971 0.465933 0.285059
4.4374 1 0.0370136 0.0272143 0.633415 0.19796
4.45721 1 0.00398689 0.00937496 0.187384 0.0758428
4.47702 1 0.0700329 0.0292391 0.535808 0.251059
4.49683 1 0.132575 0.00451376 0.550934 0.485667
4.51664 1 0.0117566 0.00871609 0.242998 0.0600833
4.53645 1 0.0209157 0.00792934 0.160667 0.0629075
4.55626 1 0.00916561 0.0023971 0.0440925 0.102466
4.57607 1 0.0133965 0.0178965 0.343186 0.186548
4.59588 1 0.0287194 0.0182818 0.410938 0.107454
4.61569 1 0.00820509 0.0240161 0.457832 0.234489
4.6355 1 0.0258051 0.0201097 0.440491 0.125518
4.65531 1 0.0241865 0.0185162 0.44974 0.0939169
4.67512 1 0.00609768 0.00888995 0.207354 0.0804232
4.69493 1 0.0243068 0.00942396 0.177644 0.078985
4.71474 1 0.0179433 0.0232186 0.509919 0.121255
4.73455 1 0.0165578 0.018687 0.379018 0.136186
4.75436 1 0.0677924 0.0559016 1.14341 0.410471
4.77417 1 0.026248 0.0178734 0.400911 0.0514753
4.79398 1 0.0327056 0.0146888 0.319007 0.0841959
4.81379 1 0.00379708 0.00429487 0.0626452 0.0586546
4.8336 1 0.0323681 0.0108538 0.255585 0.0901973
4.85341 1 0.0145215 0.00990481 0.253241 0.0711153
4.87322 1 0.0240962 0.0108365 0.222965 0.12179
4.89303 1 0.0278872 0.0258425 0.551379 0.175879
4.91284 1 0.00853713 0.0138837 0.318278 0.0538701
4.93265 1 0.0741525 0.0387445 0.646777 0.335423
4.95246 1 0.0213806 0.0129399 0.284731 0.0796827
4.97227 1 0.0371652 0.0134226 0.286931 0.105678
4.99208 1 0.00777921 0.00489476 0.138428 0.0819575
5.01189 1 0.0192345 0.00689529 0.147593 0.0818242
5.0317 1 0.0171917 0.00904612 0.232679 0.0312301
5.05151 1 0.00685651 0.0164073 0.37853 0.081293
5.07132 1 0.0964097 0.0255268 0.427927 0.261387
5.09112 1 0.0101861 0.011685 0.263907 0.061312
5.11093 1 0.0626022 0.0291583 0.607448 0.265034
5.13074 1 0.00513101 0.00243806 0.070354 0.0569339
5.15055 1 0.0237595 0.0107351 0.194198 0.122901
5.17036 1 0.00320846 0.00786003 0.163232 0.0801981
5.19017 1 0.0160485 0.00552588 0.131878 0.0614574
5.20998 1 0.0124251 0.0155723 0.372416 0.0720489
5.22979 1 0.0446484 0.0262772 0.54486 0.184076
5.2496 1 0.0467147 0.0150415 0.312202 0.128676
5.26941 1 0.0113712 0.0095092 0.231714 0.0502873
5.28922 1 0.0283848 0.0120453 0.235976 0.149439
5.30903 1 0.00780752 0.0019491 0.0906257 0.0244222
5.32884 1 0.0411424 0.0304676 0.749581 0.167282
5.34865 1 0.138135 0.0622109 1.18985 0.441437
5.36846 1 0.00991133 0.011717 0.292052 0.079273
5.38827 1 0.0149178 0.0175901 0.364005 0.137262
