# Generated from ../data/13JUL2013/000.dat
time steer steer_est v v_c
26.56 -0.00534071 -0.00112731 1.98021 2
26.58 -0.00408407 -0.000519925 1.97554 2
26.6 -0.00219911 0.00115714 1.98305 2
26.62 -0.00125664 0.00243096 1.98662 2
26.64 -0.000628319 0.00302361 1.98985 2
26.66 -0.000628319 0.00350879 1.97825 2
26.68 -0.000314159 0.0036034 1.98381 2
26.7 0.000314159 0.00354651 1.97402 2
26.72 0.00125664 0.00409933 1.98262 2
26.74 0.00188496 0.0047451 1.97369 2
26.76 0.0015708 0.00485454 1.98252 2
26.78 0.00125664 0.00464361 1.96891 2
26.8 0.0015708 0.00456068 1.98118 2
26.82 0.00219911 0.00479964 1.97328 2
26.84 0.00219911 0.00490798 1.97212 2
26.86 0.00219911 0.00487014 1.97179 2
26.88 0.00219911 0.00505365 1.99019 2
26.9 0.00251327 0.00543267 1.97582 2
26.92 0.00282743 0.00567169 1.98787 2
26.94 0.00314159 0.00573095 1.97992 2
26.96 0.00345575 0.0058648 1.98902 2
26.98 0.00345575 0.00612161 1.97549 2
27 0.00345575 0.00625954 1.97749 2
27.02 0.00345575 0.00637261 1.97331 2
27.04 0.00345575 0.00656676 1.98716 2
27.06 0.00376991 0.00712832 1.97022 2
27.08 0.00408407 0.00761705 1.98629 2
27.1 0.00408407 0.007712 1.97947 2
27.12 0.00439823 0.00789471 1.97861 2
27.14 0.00471239 0.00819112 1.96888 2
27.16 0.00439823 0.00816925 1.97434 2
27.18 0.00471239 0.00829988 1.96421 2
27.2 0.00502655 0.00889847 1.96957 2
27.22 0.00565487 0.00951005 1.96762 2
27.24 0.00628319 0.00999792 1.97053 2
27.26 0.00659734 0.0104108 1.96883 2
27.28 0.0069115 0.0106341 1.97684 2
27.3 0.00722566 0.0110076 1.97061 2
27.32 0.00753982 0.0114221 1.96108 2
27.34 0.00785398 0.0117148 1.98003 2
27.36 0.0084823 0.0123717 1.96267 2
27.38 0.00911062 0.0132608 1.96768 2
27.4 0.00973894 0.0138323 1.9658 2
27.42 0.0103673 0.0143418 1.97001 2
27.44 0.0109956 0.0153141 1.963 2
27.46 0.0113097 0.0160358 1.95296 2
27.48 0.0116239 0.0163379 1.9512 2
27.5 0.0122522 0.0167534 1.94941 2
27.52 0.0131947 0.0175459 1.94891 2
27.54 0.013823 0.0181364 1.9556 2
27.56 0.013823 0.0179506 1.9534 2
27.58 0.013823 0.0175563 1.95132 2
27.6 0.0144513 0.0179525 1.95419 2
27.62 0.0144513 0.0184075 1.96054 2
27.64 0.0141372 0.018101 1.95004 2
27.66 0.0147655 0.0181843 1.96664 2
27.68 0.0153938 0.0187577 1.96679 2
27.7 0.0150796 0.0186851 1.96684 2
27.72 0.0150796 0.018198 1.96779 2
27.74 0.0150796 0.0182644 1.96029 2
27.76 0.015708 0.0186863 1.967 2
27.78 0.0153938 0.0186523 1.96007 2
27.8 0.0150796 0.0181077 1.96471 2
27.82 0.0150796 0.0175878 1.96496 2
27.84 0.0147655 0.0171931 1.96978 2
27.86 0.0144513 0.0165219 1.96293 2
27.88 0.013823 0.0155932 1.96575 2
27.9 0.0131947 0.0146611 1.97 2
27.92 0.0131947 0.0141781 1.95839 2
27.94 0.0128805 0.0137724 1.95618 2
27.96 0.0119381 0.0129322 1.95333 2
27.98 0.0113097 0.0120728 1.95253 2
28 0.0106814 0.0114753 1.95914 2
28.02 0.00973894 0.0106454 1.96468 2
28.04 0.00879646 0.00947766 1.96372 2
28.06 0.00816814 0.00866267 1.96943 2
28.08 0.00753982 0.00808966 1.96852 2
28.1 0.00628319 0.00701203 1.96049 2
28.12 0.00471239 0.00560082 1.97987 2
28.14 0.00376991 0.00467997 1.96263 2
28.16 0.00345575 0.0040605 1.97018 2
28.18 0.00251327 0.00318124 1.9665 2
28.2 0.00188496 0.00241232 1.97021 2
28.22 0.000942478 0.0016801 1.96305 2
28.24 0.000314159 0.00103452 1.96578 2
28.26 -0.000628319 0.000379303 1.95375 2
28.28 -0.00125664 -0.000411038 1.95013 2
28.3 -0.0015708 -0.00111273 1.94911 2
28.32 -0.00188496 -0.00138319 1.94788 2
28.34 -0.00251327 -0.00192337 1.95782 2
28.36 -0.00376991 -0.00306101 1.96179 2
28.38 -0.00439823 -0.00370867 1.95607 2
28.4 -0.00502655 -0.00414041 1.95077 2
28.42 -0.00596903 -0.00530525 1.94834 2
28.44 -0.00659734 -0.00642762 1.94766 2
28.46 -0.00722566 -0.00692996 1.94494 2
28.48 -0.00816814 -0.00751825 1.94419 2
28.5 -0.00942478 -0.00864499 1.94398 2
28.52 -0.00973894 -0.00934438 1.94392 2
28.54 -0.0103673 -0.00951095 1.9439 2
28.56 -0.0106814 -0.00972536 1.9439 2
28.58 -0.0113097 -0.010259 1.94138 2
28.6 -0.0116239 -0.0106327 1.94319 2
28.62 -0.0116239 -0.0107263 1.93895 2
28.64 -0.0122522 -0.0112651 1.93998 2
28.66 -0.0128805 -0.0122513 1.94028 2
28.68 -0.0135088 -0.0128294 1.93813 2
28.7 -0.013823 -0.0130711 1.93629 2
28.72 -0.0144513 -0.0135854 1.93449 2
28.74 -0.0150796 -0.014115 1.9365 2
28.76 -0.0147655 -0.0140313 1.93584 2
28.78 -0.0150796 -0.0140497 1.93436 2
28.8 -0.0153938 -0.0144701 1.93646 2
28.82 -0.0160221 -0.015018 1.929 2
28.84 -0.0166504 -0.0158859 1.9335 2
28.86 -0.0169646 -0.0165504 1.93277 2
28.88 -0.0175929 -0.0171008 1.92797 2
28.9 -0.0182212 -0.0177897 1.93322 2
28.92 -0.0188496 -0.0184505 1.92716 2
28.94 -0.0194779 -0.0191414 1.92744 2
28.96 -0.0204204 -0.019925 1.93558 2
28.98 -0.0210487 -0.0208846 1.92781 2
29 -0.021677 -0.0216328 1.92762 2
29.02 -0.0219911 -0.021773 1.93692 2
29.04 -0.0223053 -0.0220285 1.92567 2
29.06 -0.0232478 -0.0227816 1.92702 2
29.08 -0.0235619 -0.0234138 1.93675 2
29.1 -0.0235619 -0.023273 1.92562 2
29.12 -0.0235619 -0.0231684 1.93981 2
29.14 -0.0238761 -0.0233915 1.93929 2
29.16 -0.0241903 -0.0234015 1.92885 2
29.18 -0.0245044 -0.0234379 1.94072 2
29.2 -0.0245044 -0.0235333 1.93954 2
29.22 -0.0245044 -0.0233479 1.92893 2
