# Generated from ../data/13JUL2013/000.dat
time steer_rate steer_rate_est
24.26 0.0173425 0.119647
24.28 0.017312 0.144298
24.3 0.0285306 0.157873
24.32 0.00803535 0.136056
24.34 0.00226307 0.127464
24.36 0.0130651 0.128349
24.38 0.0127331 0.130959
24.4 0.00358617 0.127001
24.42 0.00101003 0.118676
24.44 0.0127122 0.138298
24.46 0.0296932 0.164011
24.48 0.0207905 0.145666
24.5 0.0229149 0.126566
24.52 0.0188814 0.156783
24.54 0.0143712 0.149395
24.56 -0.00838014 0.101403
24.58 -0.00236017 0.0973318
24.6 0.0117629 0.101481
24.62 -0.0137466 0.0547681
24.64 -0.0253527 0.0245845
24.66 -0.0261633 0.0427426
24.68 -0.016422 0.0339998
24.7 -0.0170528 0.0271964
24.72 -0.0048027 0.0330305
24.74 -0.0250075 0.0135996
24.76 -0.0241026 0.00784011
24.78 -0.00678821 0.0189201
24.8 -0.0189713 0.00122566
24.82 -0.00534305 -0.00625416
24.84 -0.00150481 0.0191966
24.86 -0.0240786 0.00797127
24.88 -0.0158349 -0.000844962
24.9 -0.0135131 0.00721124
24.92 -0.0104012 0.0175638
24.94 -0.00292937 0.0344672
24.96 -0.0132527 0.0353821
24.98 -0.0273873 0.0156527
25 -0.020141 0.0236948
25.02 -0.022732 0.0298085
25.04 -0.0358894 0.000595921
25.06 -0.031589 0.0103984
25.08 -0.0279197 0.042067
25.1 -0.0169167 0.0300174
25.12 -0.0113597 0.0274728
25.14 -0.0122528 0.0248716
25.16 -0.0125043 0.00548238
25.18 -0.0225447 0.0105977
25.2 -0.0253725 0.0165774
25.22 -0.0261689 0.00656261
25.24 -0.00737022 0.0239153
25.26 -0.00207576 0.0408356
25.28 -0.0130123 0.0314762
25.3 -0.0226878 0.0241629
25.32 -0.0063898 0.0467857
25.34 -0.00179964 0.0670244
25.36 -0.000506878 0.068269
25.38 -0.00673807 0.0603777
25.4 -0.00189772 0.067017
25.42 -0.000534505 0.0618171
25.44 -0.0172101 0.0208129
25.46 -0.00484708 0.00919603
25.48 -0.00136515 0.0436182
25.5 -0.0240393 0.0449598
25.52 -0.0282515 0.0253696
25.54 -0.0145521 0.0336573
25.56 0.00832918 0.0402796
25.58 0.00234583 0.0381002
25.6 0.000660688 0.0527487
25.62 -0.00640932 0.0522223
25.64 -0.0142328 0.0356553
25.66 -0.00400856 0.0255829
25.68 -0.0181885 0.0154535
25.7 -0.00512263 0.00112496
25.72 -0.0250976 -0.00467358
25.74 -0.0260915 -0.00291105
25.76 -0.0263714 -0.0203372
25.78 -0.0264503 -0.0228777
25.8 -0.00744951 0.00173911
25.82 -0.0111516 0.00396135
25.84 -0.035849 -0.0319522
25.86 -0.0362094 -0.020269
25.88 -0.00360262 0.0216323
25.9 -0.0134423 -0.0133574
25.92 -0.022809 -0.0306281
25.94 -0.0188516 0.0237344
25.96 -0.0053094 0.0470242
25.98 -0.013923 0.0264
26 -0.00392127 0.0414445
26.02 -0.00110435 0.0577585
26.04 -0.0127387 0.0394751
26.06 -0.0126413 0.024399
26.08 -0.0101557 0.0258781
26.1 -0.00286025 0.0582295
26.12 -0.000805616 0.0858924
26.14 -0.00928026 0.0728778
26.16 -0.00261372 0.0747436
26.18 0.0353463 0.121524
26.2 0.0190083 0.106414
26.22 -0.00707418 0.0459178
26.24 -0.00858784 0.0558193
26.26 0.010009 0.110988
26.28 0.0355271 0.12164
26.3 0.0190592 0.105043
26.32 0.0177955 0.121657
26.34 0.0311248 0.167221
26.36 0.0414742 0.178098
26.38 0.0377936 0.154499
26.4 0.0230718 0.162158
26.42 0.0425804 0.188708
26.44 0.0381052 0.191356
26.46 0.0197853 0.171971
26.48 0.0416548 0.163133
26.5 0.0568675 0.182408
26.52 0.0487244 0.204821
26.54 0.0137227 0.184003
26.56 0.00386482 0.163283
26.58 0.0566886 0.208034
26.6 0.0872146 0.226646
26.62 0.0526395 0.177783
26.64 0.0384802 0.174937
26.66 0.0108375 0.192433
26.68 0.0154799 0.151169
26.7 0.0304727 0.133446
26.72 0.0366587 0.145884
26.74 0.0293475 0.141784
26.76 -0.000788011 0.130706
26.78 -0.00927536 0.127223
26.8 0.0144472 0.128994
26.82 0.0301818 0.12257
26.84 0.0085004 0.107433
26.86 0.00239406 0.107049
26.88 0.00067427 0.131941
26.9 0.00924334 0.133331
26.92 0.00919861 0.116198
26.94 0.0116441 0.105381
26.96 0.020339 0.11513
26.98 0.00572826 0.118082
27 0.00161332 0.118954
27.02 0.000454396 0.124413
27.04 0.000128001 0.138791
27.06 0.00663137 0.168172
27.08 0.0142953 0.161901
27.1 0.00402614 0.141325
27.12 0.00772928 0.152488
27.14 0.0112303 0.154977
27.16 -0.00926475 0.140663
27.18 0.0144502 0.170844
27.2 0.0164974 0.190327
27.22 0.0236693 0.174812
27.24 0.0303211 0.175403
27.26 0.0151349 0.164447
27.28 0.013316 0.15668
27.3 0.016178 0.180968
27.32 0.0216159 0.178815
27.34 0.0231474 0.170433
27.36 0.0326322 0.205706
27.38 0.0306716 0.203613
27.4 0.0276614 0.17851
27.42 0.0339035 0.197156
27.44 0.0285716 0.224767
27.46 0.0146422 0.208824
27.48 0.0107192 0.195637
27.5 0.022042 0.20463
27.52 0.0342843 0.212015
27.54 0.0286788 0.191631
27.56 0.00807714 0.14217
27.58 0.00227487 0.13543
27.6 0.0242955 0.183749
27.62 0.00684255 0.168583
27.64 -0.00712627 0.133588
27.66 0.0241058 0.167772
27.68 0.0329021 0.166689
27.7 -0.00779295 0.112067
27.72 -0.00219476 0.110366
27.74 -0.0006181 0.147485
27.76 0.0234807 0.141138
27.78 -0.0104463 0.10942
27.8 -0.0200016 0.0872544
27.82 -0.00563318 0.0849411
27.84 -0.018646 0.073256
27.86 -0.0176791 0.046207
27.88 -0.031092 0.0207834
27.9 -0.0348696 0.0174785
27.92 -0.0098207 0.0309571
27.94 -0.00936121 0.0164984
27.96 -0.0353448 -0.00678257
27.98 -0.0289775 0.00454543
28 -0.0238099 0.015373
28.02 -0.039414 -0.0101168
28.04 -0.0438088 -0.0286194
28.06 -0.0384511 -0.00914373
28.08 -0.0369422 -0.00640373
28.1 -0.0555403 -0.032175
28.12 -0.0698317 -0.0230542
28.14 -0.0557498 0.00612863
28.16 -0.0247547 9.39513e-05
28.18 -0.0396802 -0.0213926
28.2 -0.0372884 -0.00956582
28.22 -0.0465844 -0.00605979
28.24 -0.0392329 -0.00011736
28.26 -0.047132 0.0112153
28.28 -0.0393872 -0.0113577
28.3 -0.0201464 -0.00306509
28.32 -0.0122693 0.0249969
28.34 -0.0224785 -0.0167403
28.36 -0.0514668 -0.0316682
28.38 -0.040608 0.0165266
28.4 -0.0375498 0.010257
28.42 -0.0432838 -0.0440898
28.44 -0.0312134 -0.0265094
28.46 -0.027814 0.00268282
28.48 -0.043916 -0.0139066
28.5 -0.0575044 -0.0271406
28.52 -0.025249 0.0057287
28.54 -0.030766 0.0312546
28.56 -0.0210926 0.0226693
28.58 -0.0249635 0.0182855
28.6 -0.0160842 0.0310326
28.62 -0.00453001 0.0362632
28.64 -0.022757 0.00252976
28.66 -0.0254323 -0.0213088
28.68 -0.0332756 0.0120523
28.7 -0.0217995 0.021662
28.72 -0.0251626 0.00684114
28.74 -0.0261098 0.0250926
28.76 0.00169981 0.0417193
28.78 -0.0165809 0.0268929
28.8 -0.0170975 0.0114351
28.82 -0.0309283 0.0129204
28.84 -0.0277338 -0.0108618
28.86 -0.0202387 -0.00764656
28.88 -0.0351873 -0.0156846
28.9 -0.0393974 -0.0217883
28.92 -0.0372089 -0.0104657
28.94 -0.0295026 -0.0154135
28.96 -0.0443915 -0.0242596
28.98 -0.0386156 -0.0428413
29 -0.0345305 -0.021131
29.02 -0.0267847 0.00603898
29.04 -0.0199714 -0.00668936
29.06 -0.0417072 -0.0298099
29.08 -0.0183418 -0.00304497
29.1 -0.00516582 0.0327456
29.12 -0.00145495 0.011597
29.14 -0.0070051 0.0127255
29.16 -0.0110264 0.0397615
29.18 -0.0155333 0.0345508
29.2 -0.00437486 0.0359126
29.22 -0.00123215 0.0662148
29.24 -0.000347137 0.0714418
29.26 -0.0191209 0.0455955
29.28 -0.0224446 0.0567036
29.3 -0.00632131 0.0563519
29.32 -0.00178027 0.0491682
29.34 0.00855172 0.102025
29.36 -0.00664485 0.115328
29.38 -0.00187147 0.0902732
29.4 0.0231276 0.127479
29.42 0.0425963 0.141183
29.44 0.0210501 0.10981
29.46 0.0229881 0.125745
29.48 0.00647426 0.155255
29.5 0.00841868 0.140008
29.52 0.0384536 0.154613
29.54 0.0323111 0.158663
29.56 0.0418084 0.159079
29.58 0.0378878 0.1782
29.6 0.0367836 0.202559
29.62 0.0464422 0.209264
29.64 0.0628478 0.223488
29.66 0.0798958 0.241122
29.68 0.0676376 0.231921
29.7 0.0517577 0.213759
29.72 0.0472851 0.197097
29.74 0.0493998 0.184464
29.76 0.0466211 0.198228
29.78 0.0458386 0.220314
29.8 0.034391 0.224065
29.82 0.0548218 0.243171
29.84 0.0730036 0.256951
29.86 0.0918095 0.259485
29.88 0.0834208 0.251351
29.9 0.051571 0.248886
29.92 0.0472327 0.229042
29.94 0.0447532 0.208992
29.96 0.0714255 0.208033
29.98 0.0586568 0.191207
30 0.0289478 0.168037
