# Generated from ../data/13JUL2013/024.dat
time T_s gyro_x steer steer_rate v
23.22 -2.67699 -0.0500343 0.0725708 -1.39013 0.981519
23.24 -2.35209 0.00460005 0.0405265 -1.55987 0.973584
23.26 0.705067 0.0586029 0.00785398 -1.59438 0.967664
23.28 -0.200499 0.0130015 -0.0150796 -1.30497 0.970744
23.3 -2.00421 0.0119896 -0.0439823 -1.38015 0.974131
23.32 -0.0475965 0.0838514 -0.0725708 -1.42023 0.967818
23.34 2.25852 0.0950035 -0.0939336 -1.17743 0.970788
23.36 0.204784 0.0361839 -0.111212 -0.934791 0.971624
23.38 -1.35313 0.0515315 -0.130376 -0.946561 0.956826
23.4 2.09096 0.124371 -0.141372 -0.567976 0.968753
23.42 2.86414 0.0874578 -0.14954 -0.430417 0.971051
23.44 -0.407236 0.0266311 -0.152996 -0.239571 0.953206
23.46 0.182503 0.0818416 -0.162106 -0.364168 0.967734
23.48 3.71739 0.119364 -0.158336 0.036212 0.968244
23.5 2.41137 0.0380192 -0.148911 0.38703 0.952416
23.52 -1.06732 0.0101544 -0.143257 0.220793 0.967511
23.54 1.67498 0.102101 -0.136659 0.296632 0.970702
23.56 4.51059 0.100138 -0.12158 0.587665 0.963394
23.58 0.997043 -0.026175 -0.101159 0.914234 0.969541
23.6 -1.99228 -0.0298651 -0.0860796 0.77087 0.971273
23.62 2.89182 0.0840482 -0.0681726 0.929486 0.967013
23.64 4.51059 0.0252113 -0.0477522 1.01611 0.970561
23.66 -0.994384 -0.0858233 -0.0204204 1.25536 0.974079
23.68 -1.40984 -0.000848708 -0.00502655 0.928198 0.972551
23.7 4.30092 0.0555354 0.0172788 1.10655 0.97212
23.72 2.78364 -0.059679 0.0424115 1.26051 0.975457
23.74 -3.97996 -0.138605 0.0625177 1.02749 0.957906
23.76 -0.615112 0.00440567 0.0738274 0.658381 0.969057
23.78 4.51059 0.0225946 0.092677 0.854453 0.967678
23.8 -0.894067 -0.153336 0.115296 1.07185 0.955715
23.82 -4.51059 -0.129864 0.125035 0.675691 0.965921
23.84 1.44224 0.04215 0.125978 0.21935 0.967734
23.86 4.19056 -0.0456424 0.13823 0.468748 0.952272
23.88 -4.51059 -0.198815 0.144199 0.226101 0.967471
23.9 -4.51059 -0.0605192 0.146398 0.0719905 0.96817
23.92 3.49657 0.0384333 0.14577 0.123455 0.962682
23.94 0.434562 -0.124054 0.147969 0.119648 0.969342
23.96 -4.51059 -0.165611 0.142942 -0.139175 0.971217
23.98 -2.45818 0.0275279 0.129748 -0.571106 0.961021
24 4.25761 0.0350263 0.125664 -0.319784 0.958588
24.02 -4.51059 -0.217778 0.116867 -0.516893 0.958963
24.04 -4.51059 -0.109566 0.105872 -0.58552 0.95863
24.06 1.99018 0.0851379 0.0854513 -0.861594 0.963452
24.08 1.93128 -0.0503163 0.0757124 -0.629112 0.954524
24.1 -4.51059 -0.123685 0.0559203 -0.873944 0.962127
24.12 -4.51059 0.0337276 0.0320442 -1.15941 0.963207
24.14 3.73948 0.0844934 0.0128805 -0.963569 0.950997
24.16 -3.12008 -0.116182 -0.00628319 -0.997786 0.954306
24.18 -4.51059 -0.0509041 -0.033615 -1.24409 0.965524
24.2 2.42573 0.173913 -0.0672301 -1.52329 0.959416
24.22 3.53364 0.0394994 -0.0863938 -1.13689 0.953388
24.24 -4.51059 -0.0877773 -0.109956 -1.20703 0.952751
24.26 -4.31012 0.0793595 -0.140115 -1.50321 0.961628
24.28 4.51059 0.193366 -0.167761 -1.34419 0.958319
24.3 0.6689 -0.0236864 -0.185982 -0.961226 0.947101
24.32 -4.51059 0.00310864 -0.212686 -1.20149 0.953209
24.34 3.24291 0.247477 -0.238133 -1.14076 0.954929
24.36 4.51059 0.167666 -0.259496 -1.04702 0.957494
24.38 -1.84653 -0.015559 -0.27269 -0.875917 0.957148
24.4 -2.25373 0.0927704 -0.288084 -0.809098 0.946765
24.42 4.51059 0.229927 -0.295624 -0.509851 0.949649
24.44 4.51059 0.0764958 -0.297509 -0.142851 0.950462
24.46 -0.644761 0.0817547 -0.299394 -0.172554 0.956232
24.48 3.72548 0.197313 -0.29154 0.329226 0.959318
24.5 4.51059 0.135425 -0.281173 0.48105 0.949901
24.52 0.498034 -0.0121932 -0.262009 0.823975 0.960825
24.54 0.584918 0.0804964 -0.252898 0.633918 0.962839
24.56 4.51059 0.157 -0.229336 0.975718 0.950893
24.58 4.085 0.021726 -0.200748 1.35156 0.956795
24.6 -0.507158 0.015855 -0.174987 1.19712 0.968744
24.62 4.05654 0.110488 -0.142942 1.51683 0.960323
24.64 4.51059 0.0413282 -0.111212 1.58621 0.953642
24.66 0.0381923 -0.0728469 -0.0728849 1.80846 0.957569
24.68 -0.180218 -0.0124177 -0.0420973 1.63255 0.962984
24.7 4.04219 0.0290449 -0.00345575 1.81209 0.958701
24.72 1.7366 -0.0936805 0.0370708 1.98343 0.949727
24.74 -1.99349 -0.100568 0.071 1.74051 0.964234
24.76 1.26345 -0.0192694 0.102102 1.58186 0.9638
24.78 2.81792 -0.0669766 0.138544 1.6899 0.95893
24.8 -1.83668 -0.16391 0.171845 1.66267 0.95325
24.82 -2.32815 -0.109788 0.191951 1.23316 0.952712
24.84 0.754171 -0.0804359 0.212372 1.08191 0.956874
24.86 -1.16283 -0.149693 0.232164 0.998443 0.956986
24.88 -4.08573 -0.145389 0.239389 0.534326 0.94925
24.9 -0.829333 -0.0614534 0.240646 0.173495 0.953819
24.92 0.243969 -0.0951147 0.243473 0.162028 0.955106
24.94 -3.97853 -0.160438 0.242531 -0.021842 0.957545
24.96 -3.8689 -0.0850043 0.230907 -0.461742 0.952861
24.98 0.242203 -0.0285155 0.213628 -0.741513 0.95735
25 -1.73287 -0.104911 0.201062 -0.654366 0.962924
25.02 -4.51059 -0.0979412 0.182841 -0.861982 0.965951
25.04 -1.15288 0.0247239 0.156137 -1.22981 0.955228
25.06 0.960511 -0.00719013 0.136345 -1.00413 0.965784
25.08 -3.30024 -0.0716158 0.108385 -1.31453 0.966756
25.1 -3.98935 -0.000175542 0.0785398 -1.47582 0.951997
25.12 1.70416 0.085186 0.049323 -1.38649 0.967393
25.14 0.356032 -0.0054904 0.0267035 -1.20322 0.968149
25.16 -4.22111 -0.0256539 -0.00188496 -1.36119 0.94987
25.18 -0.372157 0.107154 -0.0326726 -1.51241 0.956508
25.2 3.66399 0.104967 -0.0540354 -1.19544 0.958378
25.22 -0.921172 -0.0107173 -0.0716283 -0.945201 0.958466
25.24 -2.71019 0.0464882 -0.0942478 -1.02456 0.963406
25.26 3.48044 0.16534 -0.108699 -0.709551 0.969545
25.28 2.90303 0.0537413 -0.117181 -0.482717 0.965296
25.3 -2.98186 -0.0198773 -0.128491 -0.637042 0.974824
25.32 0.805649 0.130341 -0.137916 -0.522682 0.962474
25.34 4.51059 0.132785 -0.136659 -0.138666 0.967825
25.36 0.231749 -0.00949454 -0.130062 0.182984 0.966042
25.38 -2.18278 0.0449607 -0.130062 0.0617208 0.955254
25.4 4.43806 0.156673 -0.123779 0.286922 0.962334
25.42 4.51059 0.0495705 -0.11404 0.473157 0.965785
