# Generated from ../data/13JUL2013/007.dat
time T_s gyro_x steer v
23.12 0.148935 -0.0107882 -0.00219911 3.95742
23.125 0.160777 -0.00683201 -0.00219911 3.95085
23.13 0.191312 -0.0038762 -0.00219911 3.9591
23.135 0.178561 -0.00856176 -0.00219911 3.95208
23.14 0.195382 -0.00501735 -0.00219911 3.95999
23.145 0.148119 -0.0133033 -0.00219911 3.96301
23.15 0.190983 -0.00293028 -0.00188496 3.96521
23.155 0.124695 -0.0164827 -0.00188496 3.95653
23.16 0.0607089 -0.0191438 -0.00188496 3.96323
23.165 0.0350709 -0.0164911 -0.00188496 3.95509
23.17 -0.00328347 -0.0198718 -0.00188496 3.96219
23.175 0.00423038 -0.0152189 -0.00188496 3.95432
23.18 -0.0217987 -0.0202798 -0.00188496 3.96163
23.185 0.018756 -0.0121917 -0.00188496 3.95392
23.19 0.0374308 -0.0136804 -0.00219911 3.95105
23.195 0.0662338 -0.0117776 -0.00219911 3.94896
23.2 0.104171 -0.00968683 -0.00219911 3.95772
23.205 0.12529 -0.0104387 -0.00219911 3.95107
23.21 0.165488 -0.00712764 -0.00219911 3.95926
23.215 0.146002 -0.0137271 -0.00219911 3.95219
23.22 0.119668 -0.0156844 -0.00219911 3.96007
23.225 0.0983021 -0.0156074 -0.00251327 3.95278
23.23 0.0805631 -0.0161469 -0.00251327 3.95022
23.235 0.0679748 -0.0163215 -0.00251327 3.94835
23.24 0.0186745 -0.0221524 -0.00251327 3.93671
23.245 0.0287237 -0.0162337 -0.00251327 3.94126
23.25 0.00754291 -0.0201603 -0.00282743 3.94182
23.255 -0.00123125 -0.019601 -0.00282743 3.94224
23.26 0.00377324 -0.0183511 -0.00282743 3.94254
23.265 -0.011191 -0.0209644 -0.00314159 3.94276
23.27 0.0256616 -0.0145476 -0.00314159 3.94292
23.275 0.0709014 -0.0117222 -0.00345575 3.94303
23.28 0.105974 -0.0114362 -0.00345575 3.94312
23.285 0.147662 -0.00908068 -0.00345575 3.94318
23.29 0.164416 -0.0104789 -0.00376991 3.94322
23.295 0.171006 -0.0111154 -0.00376991 3.94326
23.3 0.18 -0.0103624 -0.00376991 3.94328
23.305 0.161189 -0.0132935 -0.00408407 3.93301
23.31 0.120797 -0.0172321 -0.00408407 3.93857
23.315 0.0752024 -0.0190934 -0.00439823 3.92958
23.32 0.0619006 -0.0166528 -0.00439823 3.93606
23.325 0.00970542 -0.0224845 -0.00471239 3.93804
