# Generated from ../data/13JUL2013/000.dat
time hw_button steer steer_est v v_c
27.34 1 0.00785398 0.0117148 1.98003 2
27.36 1 0.0084823 0.0123717 1.96267 2
27.38 1 0.00911062 0.0132608 1.96768 2
27.4 1 0.00973894 0.0138323 1.9658 2
27.42 1 0.0103673 0.0143418 1.97001 2
27.44 1 0.0109956 0.0153141 1.963 2
27.46 1 0.0113097 0.0160358 1.95296 2
27.48 1 0.0116239 0.0163379 1.9512 2
27.5 1 0.0122522 0.0167534 1.94941 2
27.52 1 0.0131947 0.0175459 1.94891 2
27.54 1 0.013823 0.0181364 1.9556 2
27.56 1 0.013823 0.0179506 1.9534 2
27.58 1 0.013823 0.0175563 1.95132 2
27.6 1 0.0144513 0.0179525 1.95419 2
27.62 1 0.0144513 0.0184075 1.96054 2
27.64 1 0.0141372 0.018101 1.95004 2
27.66 1 0.0147655 0.0181843 1.96664 2
27.68 1 0.0153938 0.0187577 1.96679 2
27.7 1 0.0150796 0.0186851 1.96684 2
27.72 1 0.0150796 0.018198 1.96779 2
27.74 1 0.0150796 0.0182644 1.96029 2
27.76 1 0.015708 0.0186863 1.967 2
27.78 1 0.0153938 0.0186523 1.96007 2
27.8 1 0.0150796 0.0181077 1.96471 2
27.82 1 0.0150796 0.0175878 1.96496 2
27.84 1 0.0147655 0.0171931 1.96978 2
27.86 1 0.0144513 0.0165219 1.96293 2
27.88 1 0.013823 0.0155932 1.96575 2
27.9 1 0.0131947 0.0146611 1.97 2
27.92 1 0.0131947 0.0141781 1.95839 2
27.94 1 0.0128805 0.0137724 1.95618 2
27.96 1 0.0119381 0.0129322 1.95333 2
27.98 1 0.0113097 0.0120728 1.95253 2
28 1 0.0106814 0.0114753 1.95914 2
28.02 1 0.00973894 0.0106454 1.96468 2
28.04 1 0.00879646 0.00947766 1.96372 2
28.06 1 0.00816814 0.00866267 1.96943 2
28.08 1 0.00753982 0.00808966 1.96852 2
28.1 1 0.00628319 0.00701203 1.96049 2
28.12 1 0.00471239 0.00560082 1.97987 2
28.14 1 0.00376991 0.00467997 1.96263 2
28.16 1 0.00345575 0.0040605 1.97018 2
28.18 1 0.00251327 0.00318124 1.9665 2
28.2 1 0.00188496 0.00241232 1.97021 2
28.22 1 0.000942478 0.0016801 1.96305 2
28.24 1 0.000314159 0.00103452 1.96578 2
28.26 1 -0.000628319 0.000379303 1.95375 2
28.28 1 -0.00125664 -0.000411038 1.95013 2
28.3 1 -0.0015708 -0.00111273 1.94911 2
28.32 1 -0.00188496 -0.00138319 1.94788 2
28.34 1 -0.00251327 -0.00192337 1.95782 2
28.36 1 -0.00376991 -0.00306101 1.96179 2
28.38 1 -0.00439823 -0.00370867 1.95607 2
28.4 1 -0.00502655 -0.00414041 1.95077 2
28.42 1 -0.00596903 -0.00530525 1.94834 2
28.44 1 -0.00659734 -0.00642762 1.94766 2
28.46 1 -0.00722566 -0.00692996 1.94494 2
28.48 1 -0.00816814 -0.00751825 1.94419 2
28.5 1 -0.00942478 -0.00864499 1.94398 2
28.52 1 -0.00973894 -0.00934438 1.94392 2
28.54 1 -0.0103673 -0.00951095 1.9439 2
28.56 1 -0.0106814 -0.00972536 1.9439 2
28.58 1 -0.0113097 -0.010259 1.94138 2
28.6 1 -0.0116239 -0.0106327 1.94319 2
28.62 1 -0.0116239 -0.0107263 1.93895 2
28.64 1 -0.0122522 -0.0112651 1.93998 2
28.66 1 -0.0128805 -0.0122513 1.94028 2
28.68 1 -0.0135088 -0.0128294 1.93813 2
28.7 1 -0.013823 -0.0130711 1.93629 2
28.72 1 -0.0144513 -0.0135854 1.93449 2
28.74 1 -0.0150796 -0.014115 1.9365 2
28.76 1 -0.0147655 -0.0140313 1.93584 2
28.78 1 -0.0150796 -0.0140497 1.93436 2
28.8 1 -0.0153938 -0.0144701 1.93646 2
28.82 1 -0.0160221 -0.015018 1.929 2
28.84 1 -0.0166504 -0.0158859 1.9335 2
28.86 1 -0.0169646 -0.0165504 1.93277 2
28.88 1 -0.0175929 -0.0171008 1.92797 2
28.9 1 -0.0182212 -0.0177897 1.93322 2
28.92 1 -0.0188496 -0.0184505 1.92716 2
28.94 1 -0.0194779 -0.0191414 1.92744 2
28.96 1 -0.0204204 -0.019925 1.93558 2
28.98 1 -0.0210487 -0.0208846 1.92781 2
29 1 -0.021677 -0.0216328 1.92762 2
29.02 1 -0.0219911 -0.021773 1.93692 2
29.04 1 -0.0223053 -0.0220285 1.92567 2
29.06 1 -0.0232478 -0.0227816 1.92702 2
29.08 1 -0.0235619 -0.0234138 1.93675 2
29.1 1 -0.0235619 -0.023273 1.92562 2
29.12 1 -0.0235619 -0.0231684 1.93981 2
29.14 1 -0.0238761 -0.0233915 1.93929 2
29.16 1 -0.0241903 -0.0234015 1.92885 2
29.18 1 -0.0245044 -0.0234379 1.94072 2
29.2 1 -0.0245044 -0.0235333 1.93954 2
29.22 1 -0.0245044 -0.0233479 1.92893 2
29.24 1 -0.0245044 -0.023058 1.94074 2
29.26 1 -0.0251327 -0.0233691 1.94301 2
29.28 1 -0.0254469 -0.0236932 1.94019 2
29.3 1 -0.0254469 -0.0238974 1.94285 2
29.32 1 -0.0254469 -0.0240357 1.9436 2
29.34 1 -0.0251327 -0.0235934 1.93907 2
29.36 1 -0.0254469 -0.0230968 1.94002 2
29.38 1 -0.0254469 -0.023002 1.9428 2
29.4 1 -0.0248186 -0.0226057 1.94359 2
29.42 1 -0.0238761 -0.0216586 1.94381 2
29.44 1 -0.0235619 -0.0210699 1.95762 2
29.46 1 -0.0232478 -0.0207682 1.9595 2
29.48 1 -0.0232478 -0.020188 1.95198 2
29.5 1 -0.0229336 -0.0197084 1.95092 2
29.52 1 -0.0219911 -0.0191448 1.95185 2
29.54 1 -0.0213628 -0.0183273 1.94614 2
29.56 1 -0.0204204 -0.0174521 1.95733 2
29.58 1 -0.019792 -0.0165726 1.95388 2
29.6 1 -0.0191637 -0.0155144 1.95146 2
29.62 1 -0.0182212 -0.0143751 1.94948 2
29.64 1 -0.0169646 -0.0130984 1.95145 2
29.66 1 -0.0153938 -0.0115158 1.94854 2
29.68 1 -0.0141372 -0.00996969 1.95247 2
