# Generated from ../data/13JUL2013/000.dat
time steer steer_est v v_c
23.175 -0.00534071 -0.00271366 1.89172 2
23.18 -0.00502655 -0.00257688 1.8908 2
23.185 -0.00502655 -0.0024054 1.89015 2
23.19 -0.00471239 -0.00215376 1.88965 2
23.195 -0.00439823 -0.00187051 1.8996 2
23.2 -0.00439823 -0.00160098 1.90408 2
23.205 -0.00408407 -0.00133752 1.90736 2
23.21 -0.00408407 -0.0011333 1.89945 2
23.215 -0.00376991 -0.000921617 1.90673 2
23.22 -0.00376991 -0.000806048 1.89899 2
23.225 -0.00345575 -0.000657638 1.9064 2
23.23 -0.00345575 -0.000584859 1.89875 2
23.235 -0.00345575 -0.000515211 1.89594 2
23.24 -0.00314159 -0.000427922 1.90416 2
23.245 -0.00314159 -0.000342562 1.90742 2
23.25 -0.00314159 -0.000246375 1.92006 2
23.255 -0.00282743 -0.000121214 1.91626 2
23.26 -0.00282743 -3.90367e-05 1.91621 2
23.265 -0.00282743 3.41707e-05 1.9162 2
23.27 -0.00282743 6.31358e-05 1.91617 2
23.275 -0.00282743 5.81833e-05 1.91617 2
23.28 -0.00282743 8.91949e-06 1.91615 2
23.285 -0.00282743 -6.73293e-05 1.90587 2
23.29 -0.00251327 -7.59937e-05 1.90111 2
23.295 -0.00251327 -0.000103675 1.90794 2
23.3 -0.00251327 -0.000101324 1.91016 2
23.305 -0.00251327 -9.70134e-05 1.91179 2
23.31 -0.00251327 -5.78657e-05 1.91296 2
23.315 -0.00219911 6.61833e-05 1.91383 2
23.32 -0.00219911 0.000183669 1.91444 2
23.325 -0.00219911 0.000327456 1.9252 2
23.33 -0.00219911 0.000431538 1.91998 2
23.335 -0.00219911 0.000550414 1.90866 2
23.34 -0.00219911 0.000612615 1.90314 2
23.345 -0.00219911 0.000662174 1.89914 2
23.35 -0.00219911 0.000689893 1.90649 2
23.355 -0.00219911 0.000696267 1.89883 2
23.36 -0.00219911 0.000713452 1.90626 2
23.365 -0.00219911 0.000711072 1.89867 2
23.37 -0.00219911 0.000712196 1.90615 2
23.375 -0.00188496 0.000800279 1.90887 2
23.38 -0.00188496 0.000876648 1.91083 2
23.385 -0.0015708 0.00103151 1.91228 2
23.39 -0.00125664 0.00123391 1.90303 2
23.395 -0.000942478 0.00147371 1.89906 2
23.4 -0.000942478 0.00166914 1.90643 2
23.405 -0.000628319 0.00188914 1.89879 2
23.41 -0.000314159 0.00214538 1.90623 2
23.415 -0.000314159 0.00231686 1.90893 2
23.42 -0.000314159 0.0024718 1.90059 2
23.425 0 0.00262811 1.90757 2
23.43 0 0.00274126 1.92017 2
23.435 0 0.0028168 1.91634 2
23.44 0 0.00286598 1.91627 2
23.445 0 0.00289436 1.90596 2
23.45 0 0.00290395 1.91146 2
23.455 0 0.00288496 1.91273 2
23.46 0 0.0028397 1.91365 2
23.465 0 0.0028191 1.91433 2
23.47 0 0.00278346 1.90452 2
23.475 0 0.00274875 1.91043 2
23.48 0 0.00270571 1.91197 2
23.485 0.000314159 0.00272401 1.91311 2
23.49 0.000314159 0.00275475 1.91392 2
23.495 0.000314159 0.00275315 1.90424 2
23.5 0.000628319 0.00284181 1.91021 2
23.505 0.000628319 0.00289157 1.91183 2
23.51 0.000628319 0.00290239 1.9027 2
23.515 0.000942478 0.00300548 1.9091 2
23.52 0.000942478 0.00306328 1.90072 2
23.525 0.000942478 0.00311852 1.89737 2
23.53 0.000942478 0.00316634 1.9052 2
23.535 0.000942478 0.00319441 1.89789 2
23.54 0.000942478 0.00323836 1.90558 2
23.545 0.000942478 0.00324528 1.89817 2
23.55 0.000942478 0.0032946 1.8955 2
23.555 0.000942478 0.00332556 1.90386 2
23.56 0.000942478 0.00332175 1.90718 2
23.565 0.000942478 0.00333334 1.90962 2
23.57 0.000628319 0.00324773 1.91138 2
23.575 0.000628319 0.00317591 1.90239 2
23.58 0.000628319 0.00308059 1.90886 2
23.585 0.000628319 0.00298662 1.91084 2
23.59 0.000314159 0.00280922 1.91227 2
23.595 0.000314159 0.00265107 1.91333 2
23.6 0.000314159 0.00250266 1.90379 2
23.605 0.000314159 0.00234886 1.9099 2
23.61 0.000314159 0.00224835 1.91158 2
23.615 0.000314159 0.00213107 1.92311 2
23.62 0.000628319 0.00211136 1.91846 2
23.625 0.000628319 0.002086 1.91784 2
23.63 0.000628319 0.00208716 1.91737 2
23.635 0.000628319 0.00208904 1.91704 2
23.64 0.000628319 0.00207971 1.92707 2
23.645 0.000628319 0.00210246 1.92136 2
23.65 0.000628319 0.00212405 1.91993 2
23.655 0.000628319 0.002154 1.90862 2
23.66 0.000628319 0.00218104 1.9134 2
23.665 0.000314159 0.00216716 1.91415 2
23.67 0.000314159 0.0021645 1.91468 2
23.675 0.000314159 0.00213083 1.91508 2
23.68 0.000314159 0.00214638 1.91536 2
