# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_rate_est
23.28 -0.00149748 -0.00388754
23.3 0.0136103 0.00248958
23.32 -0.00111154 0.0015716
23.34 -0.00368025 -0.00132184
23.36 0.010422 0.000396444
23.38 0.00322263 0.0019073
23.4 -0.0018962 -0.000223492
23.42 0.00432298 -0.00144493
23.44 -0.000240955 -0.00246937
23.46 -0.00590364 -0.00350031
23.48 0.00129013 -0.000798733
23.5 0.00460395 -0.00162066
23.52 -0.000109284 -0.00225762
23.54 0.00267275 -0.00121753
23.56 -0.00540689 -0.00248608
23.58 -0.00466476 -0.00505887
23.6 0.000642716 -0.00330741
23.62 0.000810821 -0.00233196
23.64 -0.0045538 -0.00278546
23.66 -0.000502005 -0.0016461
23.68 0.000283328 -0.00315606
23.7 -0.00344121 -0.00372361
23.72 0.00695852 0.000841618
23.74 -0.00527586 -0.00393375
23.76 -0.0106393 -0.00927471
23.78 0.00559417 -0.00134078
23.8 -0.000433324 -0.000713443
23.82 -0.00650865 -0.00602451
23.84 0.00212376 -0.00306037
23.86 0.002066 0.00107991
23.88 -0.0101597 -0.00529465
23.9 -0.0054344 -0.00612651
23.92 0.00156854 -0.00124863
23.94 -0.00372771 -0.00376018
23.96 0.00309737 -0.00164968
23.98 -0.00318967 -0.00111561
24 -0.00680585 -0.00552636
24.02 0.00151522 -0.00269836
24.04 0.000891681 0.00119281
24.06 -0.0106802 -0.00643155
24.08 0.00135353 -0.0057069
24.1 0.00685024 0.000684388
24.12 -0.00743438 -0.00397634
24.14 -0.00599034 -0.00715041
24.16 0.00169621 -0.00324289
24.18 0.000453966 -0.00154228
24.2 -0.0022806 -0.00281449
24.22 -0.000584519 -0.00206026
24.24 -0.00744018 -0.00521378
24.26 0.0063668 -0.00261957
24.28 0.00405692 0.000328804
24.3 -0.00840553 -0.00478232
24.32 -0.000648219 -0.00474967
24.34 -0.00190923 -0.00413067
24.36 -0.00343991 -0.00409848
24.38 -0.00708323 -0.00473054
24.4 -0.00484127 -0.00510757
24.42 0.00828602 -0.00254711
24.44 0.00595484 -0.00135725
24.46 -0.0043075 -0.00324118
24.48 -0.0062098 -0.00785833
24.5 0.00391231 -0.0040401
24.52 -0.000913167 -0.00182528
24.54 -0.00777224 -0.00806817
24.56 -0.00278807 -0.00962484
24.58 -0.000218202 -0.00376978
24.6 -0.0149312 -0.00919008
24.62 -0.0106776 -0.0122168
24.64 -0.00285807 -0.00766756
24.66 -0.00588592 -0.00566737
24.68 -0.00301964 -0.0083044
24.7 -0.000449358 -0.0057926
24.72 -0.0117217 -0.00915198
24.74 -0.00335473 -0.00946128
24.76 -0.00132318 -0.00663775
24.78 -0.012516 -0.00882336
24.8 -0.00710841 -0.0105143
24.82 0.00101642 -0.00726558
24.84 -0.0176135 -0.00851848
24.86 -0.00883039 -0.0110509
24.88 -0.00206667 -0.00822212
24.9 -0.0164966 -0.00917974
24.92 -0.00536223 -0.00738711
24.94 -0.00336074 -0.00675976
24.96 -0.0134771 -0.0104285
24.98 -0.00735426 -0.00928888
25 -0.00301301 -0.00649123
25.02 -0.0143013 -0.0103014
25.04 -0.00951172 -0.0108757
25.06 0.00314467 -0.00357298
25.08 -0.00616194 -0.0056889
25.1 -0.00623924 -0.00874393
25.12 -0.00560504 -0.00603831
25.14 -0.00237146 -0.00770973
25.16 -0.00944175 -0.00951863
25.18 -0.00586554 -0.00510361
25.2 -0.0106022 -0.00747987
25.22 -0.00374428 -0.00601574
25.24 -4.06976e-05 -0.00318905
25.26 -0.00940091 -0.00649433
25.28 -0.00587775 -0.0068846
25.3 -0.00243753 -0.00502195
25.32 0.00147236 -0.00176589
25.34 -0.00291278 -0.0036005
25.36 -0.00571997 -0.00523149
25.38 0.000304777 -0.00370334
25.4 -0.000892679 -0.00307508
25.42 -0.0127224 -0.00789113
25.44 -0.00715191 -0.0088775
25.46 0.00873898 -0.00200899
25.48 -0.00485993 -0.00252367
25.5 -0.00981588 -0.00654144
25.52 -0.0025777 -0.00488257
25.54 0.00193989 -0.00149923
25.56 -0.00874368 -0.00508551
25.58 0.000875375 -0.00261627
25.6 -0.00125745 -0.00218427
25.62 -0.004576 -0.00444147
25.64 -0.00353391 -0.00488825
25.66 -0.00142424 -0.00375609
25.68 -0.00633775 -0.00564111
25.7 -0.00730534 -0.00573783
25.72 -0.00143374 -0.00350961
25.74 -0.00492861 -0.00421866
25.76 -0.00141287 -0.0050065
25.78 0.00314348 -0.00217669
25.8 -0.00144104 -0.000784842
25.82 -0.00918593 -0.00523236
25.84 -0.000667541 -0.00549335
25.86 0.0117893 0.00277177
25.88 -0.0122329 -0.00172584
25.9 -0.0106765 -0.00847341
25.92 0.00893529 0.00106307
25.94 0.00338225 0.00436065
25.96 -0.00981819 -0.00216308
25.98 0.00332891 -0.00047739
26 0.0109757 0.00362698
26.02 -0.00391713 -0.000712204
26.04 -0.00277987 -0.00208988
26.06 0.00346454 0.000311326
26.08 0.00465056 0.0020258
26.1 0.0093873 0.00585307
26.12 0.0031855 0.00341178
26.14 0.000225352 0.000293705
26.16 0.0207615 0.0071728
26.18 -0.0013234 0.00508665
26.2 -0.00585731 -0.00199413
26.22 0.00966228 -0.00075721
26.24 0.013672 0.00744681
26.26 0.00798667 0.00795661
26.28 -0.00269846 0.00138903
26.3 0.00816404 0.0028273
26.32 0.015596 0.00816653
26.34 0.008114 0.00830656
26.36 -0.00114015 0.00237817
26.38 0.0107173 0.00305961
26.4 0.0116703 0.00667078
26.42 0.00858687 0.00731146
26.44 0.00777141 0.0035907
26.46 0.00603683 0.00217392
26.48 0.00985826 0.00444574
26.5 0.0111478 0.00604969
26.52 0.00254807 0.00384732
26.54 0.00066875 -0.000462149
26.56 0.0203445 0.00635769
26.58 0.012485 0.00791629
26.6 -0.00496069 0.000182393
26.62 0.00516332 -0.00204902
26.64 0.0124662 0.00419218
26.66 -0.00216465 0.000545984
26.68 0.000211568 -0.00365577
26.7 0.00830714 0.00137311
26.72 0.00317118 0.000182407
26.74 -0.00291325 -0.00191509
26.76 0.00206536 -0.00114525
26.78 0.00692701 0.000171806
26.8 0.000301803 -0.0013146
26.82 -0.00101304 -0.00223131
26.84 -0.000108661 -0.00348373
26.86 0.00590372 -4.5234e-05
26.88 0.00552114 0.00116087
26.9 0.00199185 -0.00277124
26.92 -0.000525446 -0.00399637
26.94 0.000541685 -0.00263652
26.96 -0.000648256 -0.00211066
26.98 0.000385061 -0.00267679
27 0.00151919 -0.00180583
27.02 0.00261568 -0.00209543
27.04 0.00511618 -6.06435e-07
27.06 -0.00379107 -0.000726302
27.08 -0.00242583 -0.00432635
27.1 0.00595166 -0.00310876
27.12 0.00424561 -0.00112569
27.14 -0.00297491 -0.00394545
27.16 0.00696345 -0.00230335
27.18 0.00945863 0.00192818
27.2 -0.00290271 -0.00315771
27.22 0.00259453 -0.00352842
27.24 0.00405952 -0.00241855
27.26 -0.00647661 -0.00607363
27.28 0.00705355 -0.00224875
27.3 0.00427745 -0.000934706
27.32 -0.00448238 -0.00665018
27.34 0.0110968 -0.00125003
27.36 -0.000205433 -0.00120041
27.38 -0.0017065 -0.00600403
27.4 0.00371358 -0.00597449
27.42 0.00450281 -0.00148337
27.44 -0.00501096 -0.00404708
27.46 -0.00411573 -0.00777594
27.48 0.00154911 -0.00598802
27.5 0.00462391 -0.00416878
27.52 9.38307e-06 -0.00664749
27.54 -0.0112582 -0.0120153
27.56 -0.0102996 -0.013332
27.58 0.00816423 -0.00499167
27.6 -0.00415744 -0.00525477
27.62 -0.0119676 -0.0140311
27.64 0.0053981 -0.00835367
27.66 -0.0028595 -0.00534908
27.68 -0.0178981 -0.0144124
27.7 -0.00521646 -0.0144423
27.72 0.001984 -0.00753289
27.74 -0.00657126 -0.00810982
27.76 -0.0145729 -0.0140425
27.78 -0.0103975 -0.0149522
27.8 -0.00801353 -0.0140486
27.82 -0.00904551 -0.0126006
27.84 -0.0160473 -0.0155515
27.86 -0.0146312 -0.0167278
27.88 -0.0121685 -0.0165132
27.9 -0.0125321 -0.014801
27.92 -0.0180966 -0.0152249
27.94 -0.0127571 -0.016882
27.96 -0.0158299 -0.0174771
27.98 -0.0176422 -0.0141323
28 -0.0166771 -0.015747
28.02 -0.0208643 -0.0193295
28.04 -0.0101205 -0.0150115
28.06 -0.0111564 -0.0133417
28.08 -0.015543 -0.0162728
28.1 -0.0128174 -0.0170697
28.12 -0.012913 -0.0125016
28.14 -0.0129835 -0.0117712
28.16 -0.0172719 -0.0162712
28.18 -0.00832002 -0.0137718
28.2 -0.0104757 -0.012323
28.22 -0.0139138 -0.0144075
28.24 -0.00724246 -0.0109155
28.26 -0.0167832 -0.0132213
28.28 -0.0143275 -0.0154127
28.3 -0.00251742 -0.00829108
28.32 -0.0238054 -0.0133265
28.34 -0.0132214 -0.016628
28.36 0.00255692 -0.00893785
28.38 -0.0104559 -0.00777366
28.4 -0.0255053 -0.0162959
28.42 -0.00729738 -0.0136077
28.44 -0.0048096 -0.00682229
28.46 -0.0117112 -0.00909927
